,正式名称,lon,lat,名称,name,geometry,size
0,豊橋市中消防署,137.39126386737,34.758848292153,中消防署,naka,POINT (137.39126386737 34.758848292153),15
1,豊橋市南消防署,137.402152439328,34.7273199793579,南消防署,minami,POINT (137.402152439328 34.7273199793579),15
2,豊橋市中消防署石巻出張所,137.438924460993,34.8025911306537,石巻,ishimaki,POINT (137.438924460993 34.8025911306537),15
3,豊橋市中消防署前芝出張所,137.344486467455,34.7828154976557,前芝,maeshiba,POINT (137.344486467455 34.7828154976557),15
4,豊橋市中消防署東分署,137.42447741777,34.753851261297996,東分署,higashi,POINT (137.42447741777 34.753851261298),15
5,豊橋市南消防署西分署,137.36840256778999,34.75495773845061,西分署,nishi,POINT (137.36840256779 34.7549577384506),15
6,豊橋市南消防署大清水出張所,137.354408705586,34.7059649126329,大清水,oshimizu,POINT (137.354408705586 34.7059649126329),15
7,豊橋市南消防署二川出張所,137.45597566610599,34.7185224972122,二川,futakawa,POINT (137.455975666106 34.7185224972122),15
8,アメダス,137.342,34.75,アメダス,amedas,POINT (137.342 34.75),15
