,year,p-amount,area,enter,exit,g-enter,g-exit,days
46,1996,95,kyusyu-n,1996-06-07,1996-07-13,1900-06-07,1900-07-13,36.0
47,1997,128,kyusyu-n,1997-06-08,1997-07-19,1900-06-08,1900-07-19,41.0
48,1998,103,kyusyu-n,1998-06-01,1998-08-03,1900-06-01,1900-08-03,63.0
49,1999,126,kyusyu-n,1999-06-02,1999-07-22,1900-06-02,1900-07-22,50.0
50,2000,73,kyusyu-n,2000-05-26,2000-07-17,1900-05-26,1900-07-17,52.0
51,2001,110,kyusyu-n,2001-05-21,2001-07-19,1900-05-21,1900-07-19,59.0
52,2002,57,kyusyu-n,2002-06-10,2002-07-21,1900-06-10,1900-07-21,41.0
53,2003,120,kyusyu-n,2003-06-09,2003-07-31,1900-06-09,1900-07-31,52.0
54,2004,47,kyusyu-n,2004-05-29,2004-07-11,1900-05-29,1900-07-11,43.0
55,2005,70,kyusyu-n,2005-06-10,2005-07-17,1900-06-10,1900-07-17,37.0
56,2006,141,kyusyu-n,2006-06-08,2006-07-26,1900-06-08,1900-07-26,48.0
57,2007,87,kyusyu-n,2007-06-13,2007-07-23,1900-06-13,1900-07-23,40.0
58,2008,84,kyusyu-n,2008-05-28,2008-07-06,1900-05-28,1900-07-06,39.0
59,2009,121,kyusyu-n,2009-06-03,2009-08-04,1900-06-03,1900-08-04,62.0
60,2010,111,kyusyu-n,2010-06-12,2010-07-17,1900-06-12,1900-07-17,35.0
61,2011,119,kyusyu-n,2011-05-21,2011-07-08,1900-05-21,1900-07-08,48.0
62,2012,138,kyusyu-n,2012-05-30,2012-07-23,1900-05-30,1900-07-23,54.0
63,2013,72,kyusyu-n,2013-05-27,2013-07-08,1900-05-27,1900-07-08,42.0
64,2014,87,kyusyu-n,2014-06-02,2014-07-20,1900-06-02,1900-07-20,48.0
65,2015,102,kyusyu-n,2015-06-02,2015-07-29,1900-06-02,1900-07-29,57.0
66,2016,117,kyusyu-n,2016-06-04,2016-07-18,1900-06-04,1900-07-18,44.0
67,2017,67,kyusyu-n,2017-06-20,2017-07-13,1900-06-20,1900-07-13,23.0
68,2018,110,kyusyu-n,2018-06-05,2018-07-09,1900-06-05,1900-07-09,34.0
1,1951,132,kyusyu-s,1951-05-26,1951-07-21,1900-05-26,1900-07-21,56.0
2,1952,132,kyusyu-s,1952-06-14,1952-07-16,1900-06-14,1900-07-16,32.0
3,1953,118,kyusyu-s,1953-05-22,1953-07-22,1900-05-22,1900-07-22,61.0
4,1954,178,kyusyu-s,1954-05-13,1954-08-01,1900-05-13,1900-08-01,80.0
5,1955,130,kyusyu-s,1955-05-28,1955-06-24,1900-05-28,1900-06-24,27.0
6,1956,86,kyusyu-s,1956-05-01,1956-07-13,1900-05-01,1900-07-13,73.0
7,1957,92,kyusyu-s,1957-06-21,1957-08-08,1900-06-21,1900-08-08,48.0
8,1958,40,kyusyu-s,1958-06-06,1958-07-09,1900-06-06,1900-07-09,33.0
9,1959,102,kyusyu-s,1959-06-04,1959-07-21,1900-06-04,1900-07-21,47.0
10,1960,59,kyusyu-s,1960-05-24,1960-07-10,1900-05-24,1900-07-10,47.0
11,1961,67,kyusyu-s,1961-06-02,1961-07-10,1900-06-02,1900-07-10,38.0
12,1962,119,kyusyu-s,1962-06-02,1962-07-20,1900-06-02,1900-07-20,48.0
13,1963,58,kyusyu-s,1963-05-28,1963-07-12,1900-05-28,1900-07-12,45.0
14,1964,84,kyusyu-s,1964-06-10,1964-07-01,1900-06-10,1900-07-01,21.0
15,1965,79,kyusyu-s,1965-06-09,1965-07-07,1900-06-09,1900-07-07,28.0
16,1966,87,kyusyu-s,1966-05-31,1966-07-14,1900-05-31,1900-07-14,44.0
17,1967,76,kyusyu-s,1967-06-18,1967-07-14,1900-06-18,1900-07-14,26.0
18,1968,129,kyusyu-s,1968-06-12,1968-07-16,1900-06-12,1900-07-16,34.0
19,1969,107,kyusyu-s,1969-06-17,1969-07-15,1900-06-17,1900-07-15,28.0
20,1970,106,kyusyu-s,1970-06-10,1970-07-15,1900-06-10,1900-07-15,35.0
21,1971,106,kyusyu-s,1971-05-22,1971-07-25,1900-05-22,1900-07-25,64.0
22,1972,133,kyusyu-s,1972-06-02,1972-07-15,1900-06-02,1900-07-15,43.0
23,1973,81,kyusyu-s,1973-05-26,1973-07-05,1900-05-26,1900-07-05,40.0
24,1974,63,kyusyu-s,1974-05-14,1974-07-18,1900-05-14,1900-07-18,65.0
25,1975,93,kyusyu-s,1975-06-04,1975-07-14,1900-06-04,1900-07-14,40.0
26,1976,114,kyusyu-s,1976-05-19,1976-07-16,1900-05-19,1900-07-16,58.0
27,1977,83,kyusyu-s,1977-05-26,1977-07-04,1900-05-26,1900-07-04,39.0
28,1978,70,kyusyu-s,1978-06-03,1978-07-03,1900-06-03,1900-07-03,30.0
29,1979,110,kyusyu-s,1979-06-06,1979-07-22,1900-06-06,1900-07-22,46.0
30,1980,100,kyusyu-s,1980-05-30,1980-07-18,1900-05-30,1900-07-18,49.0
31,1981,44,kyusyu-s,1981-05-27,1981-07-11,1900-05-27,1900-07-11,45.0
32,1982,94,kyusyu-s,1982-05-29,1982-07-27,1900-05-29,1900-07-27,59.0
33,1983,96,kyusyu-s,1983-06-03,1983-07-21,1900-06-03,1900-07-21,48.0
34,1984,84,kyusyu-s,1984-05-31,1984-07-03,1900-05-31,1900-07-03,33.0
35,1985,90,kyusyu-s,1985-05-29,1985-07-06,1900-05-29,1900-07-06,38.0
36,1986,67,kyusyu-s,1986-06-05,1986-07-19,1900-06-05,1900-07-19,44.0
37,1987,88,kyusyu-s,1987-06-02,1987-07-25,1900-06-02,1900-07-25,53.0
38,1988,98,kyusyu-s,1988-06-01,1988-07-05,1900-06-01,1900-07-05,34.0
39,1989,103,kyusyu-s,1989-06-05,1989-07-14,1900-06-05,1900-07-14,39.0
40,1990,86,kyusyu-s,1990-05-30,1990-07-07,1900-05-30,1900-07-07,38.0
41,1991,89,kyusyu-s,1991-05-19,1991-07-09,1900-05-19,1900-07-09,51.0
42,1992,110,kyusyu-s,1992-06-05,1992-07-20,1900-06-05,1900-07-20,45.0
43,1993,216,kyusyu-s,1993-05-17,,1900-05-17,,
44,1994,73,kyusyu-s,1994-05-25,1994-07-01,1900-05-25,1900-07-01,37.0
45,1995,126,kyusyu-s,1995-05-25,1995-07-07,1900-05-25,1900-07-07,43.0
46,1996,105,kyusyu-s,1996-05-27,1996-07-13,1900-05-27,1900-07-13,47.0
47,1997,84,kyusyu-s,1997-06-02,1997-07-20,1900-06-02,1900-07-20,48.0
48,1998,110,kyusyu-s,1998-05-28,1998-07-01,1900-05-28,1900-07-01,34.0
49,1999,131,kyusyu-s,1999-06-02,1999-07-23,1900-06-02,1900-07-23,51.0
50,2000,118,kyusyu-s,2000-05-26,2000-07-15,1900-05-26,1900-07-15,50.0
51,2001,83,kyusyu-s,2001-05-21,2001-07-20,1900-05-21,1900-07-20,60.0
52,2002,113,kyusyu-s,2002-06-10,2002-07-21,1900-06-10,1900-07-21,41.0
53,2003,104,kyusyu-s,2003-06-09,2003-07-22,1900-06-09,1900-07-22,43.0
54,2004,51,kyusyu-s,2004-05-29,2004-07-11,1900-05-29,1900-07-11,43.0
55,2005,77,kyusyu-s,2005-06-11,2005-07-15,1900-06-11,1900-07-15,34.0
56,2006,116,kyusyu-s,2006-05-26,2006-07-25,1900-05-26,1900-07-25,60.0
57,2007,139,kyusyu-s,2007-06-01,2007-07-18,1900-06-01,1900-07-18,47.0
58,2008,92,kyusyu-s,2008-05-28,2008-07-06,1900-05-28,1900-07-06,39.0
59,2009,51,kyusyu-s,2009-06-02,2009-07-12,1900-06-02,1900-07-12,40.0
60,2010,163,kyusyu-s,2010-06-12,2010-07-20,1900-06-12,1900-07-20,38.0
61,2011,135,kyusyu-s,2011-05-23,2011-07-08,1900-05-23,1900-07-08,46.0
62,2012,168,kyusyu-s,2012-05-30,2012-07-23,1900-05-30,1900-07-23,54.0
63,2013,77,kyusyu-s,2013-05-27,2013-07-08,1900-05-27,1900-07-08,42.0
64,2014,135,kyusyu-s,2014-06-02,2014-07-16,1900-06-02,1900-07-16,44.0
65,2015,209,kyusyu-s,2015-06-02,2015-07-14,1900-06-02,1900-07-14,42.0
66,2016,147,kyusyu-s,2016-05-24,2016-07-18,1900-05-24,1900-07-18,55.0
67,2017,91,kyusyu-s,2017-06-06,2017-07-13,1900-06-06,1900-07-13,37.0
68,2018,128,kyusyu-s,2018-06-05,2018-07-09,1900-06-05,1900-07-09,34.0
2,1951,141,okinawa,1951-05-14,1951-06-18,1900-05-14,1900-06-18,35.0
3,1952,140,okinawa,1952-05-11,1952-06-24,1900-05-11,1900-06-24,44.0
4,1953,136,okinawa,1953-05-11,1953-06-14,1900-05-11,1900-06-14,34.0
5,1954,110,okinawa,1954-05-07,1954-07-01,1900-05-07,1900-07-01,55.0
6,1955,104,okinawa,1955-05-06,1955-06-17,1900-05-06,1900-06-17,42.0
7,1956,158,okinawa,1956-04-28,1956-06-16,1900-04-28,1900-06-16,49.0
8,1957,198,okinawa,1957-05-12,1957-06-19,1900-05-12,1900-06-19,38.0
9,1958,86,okinawa,1958-05-03,1958-06-25,1900-05-03,1900-06-25,53.0
10,1959,101,okinawa,1959-05-16,1959-06-30,1900-05-16,1900-06-30,45.0
11,1960,92,okinawa,1960-05-15,1960-06-20,1900-05-15,1900-06-20,36.0
12,1961,84,okinawa,1961-05-07,1961-06-16,1900-05-07,1900-06-16,40.0
13,1962,94,okinawa,1962-05-03,1962-07-02,1900-05-03,1900-07-02,60.0
14,1963,46,okinawa,1963-06-04,1963-06-15,1900-06-04,1900-06-15,11.0
15,1964,134,okinawa,1964-05-05,1964-06-25,1900-05-05,1900-06-25,51.0
16,1965,187,okinawa,1965-05-06,1965-06-29,1900-05-06,1900-06-29,54.0
17,1966,187,okinawa,1966-05-11,1966-06-14,1900-05-11,1900-06-14,34.0
18,1967,122,okinawa,1967-05-20,1967-06-19,1900-05-20,1900-06-19,30.0
19,1968,78,okinawa,1968-05-20,1968-06-25,1900-05-20,1900-06-25,36.0
20,1969,157,okinawa,1969-05-08,1969-06-29,1900-05-08,1900-06-29,52.0
21,1970,114,okinawa,1970-05-13,1970-06-18,1900-05-13,1900-06-18,36.0
22,1971,38,okinawa,1971-05-20,1971-06-10,1900-05-20,1900-06-10,21.0
23,1972,136,okinawa,1972-05-11,1972-06-20,1900-05-11,1900-06-20,40.0
24,1973,87,okinawa,1973-05-09,1973-06-18,1900-05-09,1900-06-18,40.0
25,1974,138,okinawa,1974-05-05,1974-06-30,1900-05-05,1900-06-30,56.0
26,1975,130,okinawa,1975-05-08,1975-07-06,1900-05-08,1900-07-06,59.0
27,1976,86,okinawa,1976-05-26,1976-07-09,1900-05-26,1900-07-09,44.0
28,1977,93,okinawa,1977-05-09,1977-06-28,1900-05-09,1900-06-28,50.0
29,1978,111,okinawa,1978-05-10,1978-06-15,1900-05-10,1900-06-15,36.0
30,1979,131,okinawa,1979-05-10,1979-06-19,1900-05-10,1900-06-19,40.0
31,1980,63,okinawa,1980-04-20,1980-06-10,1900-04-20,1900-06-10,51.0
32,1981,75,okinawa,1981-05-06,1981-06-17,1900-05-06,1900-06-17,42.0
33,1982,102,okinawa,1982-05-07,1982-07-06,1900-05-07,1900-07-06,60.0
34,1983,94,okinawa,1983-05-09,1983-06-20,1900-05-09,1900-06-20,42.0
35,1984,73,okinawa,1984-05-14,1984-06-18,1900-05-14,1900-06-18,35.0
36,1985,77,okinawa,1985-05-15,1985-06-21,1900-05-15,1900-06-21,37.0
37,1986,71,okinawa,1986-05-07,1986-06-21,1900-05-07,1900-06-21,45.0
38,1987,141,okinawa,1987-05-13,1987-06-26,1900-05-13,1900-06-26,44.0
39,1988,119,okinawa,1988-05-10,1988-06-28,1900-05-10,1900-06-28,49.0
40,1989,114,okinawa,1989-05-09,1989-06-24,1900-05-09,1900-06-24,46.0
41,1990,135,okinawa,1990-05-09,1990-06-19,1900-05-09,1900-06-19,41.0
42,1991,43,okinawa,1991-05-06,1991-06-26,1900-05-06,1900-06-26,51.0
43,1992,119,okinawa,1992-05-08,1992-06-26,1900-05-08,1900-06-26,49.0
44,1993,63,okinawa,1993-05-03,1993-06-25,1900-05-03,1900-06-25,53.0
45,1994,105,okinawa,1994-05-03,1994-06-23,1900-05-03,1900-06-23,51.0
46,1995,119,okinawa,1995-05-04,1995-07-01,1900-05-04,1900-07-01,58.0
47,1996,110,okinawa,1996-04-29,1996-06-10,1900-04-29,1900-06-10,42.0
48,1997,90,okinawa,1997-05-01,1997-06-20,1900-05-01,1900-06-20,50.0
49,1998,178,okinawa,1998-04-25,1998-06-18,1900-04-25,1900-06-18,54.0
50,1999,75,okinawa,1999-05-09,1999-06-23,1900-05-09,1900-06-23,45.0
51,2000,57,okinawa,2000-05-17,2000-06-20,1900-05-17,1900-06-20,34.0
52,2001,142,okinawa,2001-05-06,2001-06-21,1900-05-06,1900-06-21,46.0
53,2002,61,okinawa,2002-05-11,2002-06-21,1900-05-11,1900-06-21,41.0
54,2003,74,okinawa,2003-05-15,2003-06-20,1900-05-15,1900-06-20,36.0
55,2004,93,okinawa,2004-05-05,2004-06-23,1900-05-05,1900-06-23,49.0
56,2005,167,okinawa,2005-05-02,2005-06-27,1900-05-02,1900-06-27,56.0
57,2006,133,okinawa,2006-05-14,2006-06-20,1900-05-14,1900-06-20,37.0
58,2007,103,okinawa,2007-05-16,2007-06-21,1900-05-16,1900-06-21,36.0
59,2008,81,okinawa,2008-05-22,2008-06-17,1900-05-22,1900-06-17,26.0
60,2009,92,okinawa,2009-05-18,2009-07-06,1900-05-18,1900-07-06,49.0
61,2010,95,okinawa,2010-05-06,2010-06-19,1900-05-06,1900-06-19,44.0
62,2011,138,okinawa,2011-04-30,2011-06-09,1900-04-30,1900-06-09,40.0
63,2012,115,okinawa,2012-05-13,2012-06-23,1900-05-13,1900-06-23,41.0
64,2013,93,okinawa,2013-05-10,2013-06-11,1900-05-10,1900-06-11,32.0
65,2014,126,okinawa,2014-05-05,2014-06-26,1900-05-05,1900-06-26,52.0
66,2015,73,okinawa,2015-05-20,2015-06-08,1900-05-20,1900-06-08,19.0
67,2016,84,okinawa,2016-05-16,2016-06-16,1900-05-16,1900-06-16,31.0
68,2017,105,okinawa,2017-05-13,2017-06-22,1900-05-13,1900-06-22,40.0
69,2018,71,okinawa,2018-06-01,2018-06-23,1900-06-01,1900-06-23,22.0
1,1951,137,sikoku,1951-05-26,1951-07-22,1900-05-26,1900-07-22,57.0
2,1952,143,sikoku,1952-06-08,1952-07-21,1900-06-08,1900-07-21,43.0
3,1953,148,sikoku,1953-05-28,1953-07-23,1900-05-28,1900-07-23,56.0
4,1954,204,sikoku,1954-06-05,1954-08-02,1900-06-05,1900-08-02,58.0
5,1955,105,sikoku,1955-05-28,1955-07-10,1900-05-28,1900-07-10,43.0
6,1956,73,sikoku,1956-05-22,1956-07-10,1900-05-22,1900-07-10,49.0
7,1957,103,sikoku,1957-06-05,1957-07-29,1900-06-05,1900-07-29,54.0
8,1958,65,sikoku,1958-06-06,1958-07-10,1900-06-06,1900-07-10,34.0
9,1959,71,sikoku,1959-06-05,1959-07-20,1900-06-05,1900-07-20,45.0
10,1960,86,sikoku,1960-06-10,1960-07-09,1900-06-10,1900-07-09,29.0
11,1961,108,sikoku,1961-06-08,1961-07-07,1900-06-08,1900-07-07,29.0
12,1962,136,sikoku,1962-06-02,1962-07-19,1900-06-02,1900-07-19,47.0
13,1963,103,sikoku,,1963-07-13,,1900-07-13,
14,1964,77,sikoku,1964-06-11,1964-07-01,1900-06-11,1900-07-01,20.0
15,1965,111,sikoku,1965-06-11,1965-07-24,1900-06-11,1900-07-24,43.0
16,1966,114,sikoku,1966-05-31,1966-07-13,1900-05-31,1900-07-13,43.0
17,1967,81,sikoku,1967-06-21,1967-07-13,1900-06-21,1900-07-13,22.0
18,1968,103,sikoku,1968-06-12,1968-07-17,1900-06-12,1900-07-17,35.0
19,1969,127,sikoku,1969-06-17,1969-07-14,1900-06-17,1900-07-14,27.0
20,1970,123,sikoku,1970-06-10,1970-07-14,1900-06-10,1900-07-14,34.0
21,1971,93,sikoku,1971-06-03,1971-07-27,1900-06-03,1900-07-27,54.0
22,1972,146,sikoku,1972-06-03,1972-07-18,1900-06-03,1900-07-18,45.0
23,1973,62,sikoku,1973-06-05,1973-07-03,1900-06-05,1900-07-03,28.0
24,1974,119,sikoku,1974-06-10,1974-07-19,1900-06-10,1900-07-19,39.0
25,1975,96,sikoku,1975-06-04,1975-07-15,1900-06-04,1900-07-15,41.0
26,1976,91,sikoku,1976-05-19,1976-07-22,1900-05-19,1900-07-22,64.0
27,1977,88,sikoku,1977-06-07,1977-07-12,1900-06-07,1900-07-12,35.0
28,1978,80,sikoku,1978-06-11,1978-07-03,1900-06-11,1900-07-03,22.0
29,1979,105,sikoku,1979-06-06,1979-07-22,1900-06-06,1900-07-22,46.0
30,1980,114,sikoku,1980-05-30,1980-07-19,1900-05-30,1900-07-19,50.0
31,1981,86,sikoku,1981-06-10,1981-07-16,1900-06-10,1900-07-16,36.0
32,1982,120,sikoku,1982-05-29,1982-07-27,1900-05-29,1900-07-27,59.0
33,1983,76,sikoku,1983-06-12,1983-07-24,1900-06-12,1900-07-24,42.0
34,1984,108,sikoku,1984-06-08,1984-07-14,1900-06-08,1900-07-14,36.0
35,1985,101,sikoku,1985-06-07,1985-07-07,1900-06-07,1900-07-07,30.0
36,1986,73,sikoku,1986-06-06,1986-07-18,1900-06-06,1900-07-18,42.0
37,1987,114,sikoku,1987-06-08,1987-07-25,1900-06-08,1900-07-25,47.0
38,1988,146,sikoku,1988-06-01,1988-07-31,1900-06-01,1900-07-31,60.0
39,1989,91,sikoku,1989-06-08,1989-07-18,1900-06-08,1900-07-18,40.0
40,1990,82,sikoku,1990-05-31,1990-07-17,1900-05-31,1900-07-17,47.0
41,1991,106,sikoku,1991-05-19,1991-07-19,1900-05-19,1900-07-19,61.0
42,1992,68,sikoku,1992-06-07,1992-07-21,1900-06-07,1900-07-21,44.0
43,1993,194,sikoku,1993-05-29,,1900-05-29,,
44,1994,61,sikoku,1994-06-07,1994-07-02,1900-06-07,1900-07-02,25.0
45,1995,105,sikoku,1995-06-08,1995-07-08,1900-06-08,1900-07-08,30.0
46,1996,94,sikoku,1996-06-07,1996-07-11,1900-06-07,1900-07-11,34.0
47,1997,99,sikoku,1997-06-02,1997-07-18,1900-06-02,1900-07-18,46.0
48,1998,117,sikoku,1998-06-02,1998-07-03,1900-06-02,1900-07-03,31.0
49,1999,136,sikoku,1999-06-02,1999-07-22,1900-06-02,1900-07-22,50.0
50,2000,74,sikoku,2000-06-03,2000-07-18,1900-06-03,1900-07-18,45.0
51,2001,89,sikoku,2001-05-21,2001-07-19,1900-05-21,1900-07-19,59.0
52,2002,79,sikoku,2002-06-11,2002-07-20,1900-06-11,1900-07-20,39.0
53,2003,96,sikoku,2003-06-10,2003-07-31,1900-06-10,1900-07-31,51.0
54,2004,79,sikoku,2004-05-29,2004-07-13,1900-05-29,1900-07-13,45.0
55,2005,76,sikoku,2005-06-11,2005-07-16,1900-06-11,1900-07-16,35.0
56,2006,119,sikoku,2006-06-08,2006-07-26,1900-06-08,1900-07-26,48.0
57,2007,128,sikoku,2007-06-13,2007-07-23,1900-06-13,1900-07-23,40.0
58,2008,73,sikoku,2008-05-28,2008-07-06,1900-05-28,1900-07-06,39.0
59,2009,88,sikoku,2009-06-03,2009-07-30,1900-06-03,1900-07-30,57.0
60,2010,123,sikoku,2010-06-13,2010-07-17,1900-06-13,1900-07-17,34.0
61,2011,146,sikoku,2011-05-21,2011-07-08,1900-05-21,1900-07-08,48.0
62,2012,141,sikoku,2012-06-02,2012-07-17,1900-06-02,1900-07-17,45.0
63,2013,89,sikoku,2013-05-27,2013-07-08,1900-05-27,1900-07-08,42.0
64,2014,89,sikoku,2014-06-02,2014-07-20,1900-06-02,1900-07-20,48.0
65,2015,142,sikoku,2015-06-02,2015-07-24,1900-06-02,1900-07-24,52.0
66,2016,132,sikoku,2016-06-04,2016-07-18,1900-06-04,1900-07-18,44.0
67,2017,81,sikoku,2017-06-20,2017-07-13,1900-06-20,1900-07-13,23.0
68,2018,156,sikoku,2018-06-05,2018-07-09,1900-06-05,1900-07-09,34.0
1,1951,93,tohoku-n,1951-06-10,1951-07-23,1900-06-10,1900-07-23,43.0
2,1952,94,tohoku-n,1952-06-30,1952-07-20,1900-06-30,1900-07-20,20.0
3,1953,101,tohoku-n,1953-06-05,1953-07-28,1900-06-05,1900-07-28,53.0
4,1954,106,tohoku-n,1954-06-11,1954-08-01,1900-06-11,1900-08-01,51.0
5,1955,104,tohoku-n,1955-06-15,1955-07-09,1900-06-15,1900-07-09,24.0
6,1956,119,tohoku-n,1956-06-20,1956-07-25,1900-06-20,1900-07-25,35.0
7,1957,88,tohoku-n,1957-06-18,1957-08-10,1900-06-18,1900-08-10,53.0
8,1958,114,tohoku-n,1958-06-11,1958-08-01,1900-06-11,1900-08-01,51.0
9,1959,121,tohoku-n,1959-06-07,1959-07-25,1900-06-07,1900-07-25,48.0
10,1960,75,tohoku-n,1960-06-27,1960-07-18,1900-06-27,1900-07-18,21.0
11,1961,118,tohoku-n,1961-06-24,1961-07-28,1900-06-24,1900-07-28,34.0
12,1962,59,tohoku-n,1962-06-03,1962-07-25,1900-06-03,1900-07-25,52.0
13,1963,109,tohoku-n,1963-06-19,1963-07-27,1900-06-19,1900-07-27,38.0
14,1964,99,tohoku-n,1964-06-08,1964-07-25,1900-06-08,1900-07-25,47.0
15,1965,113,tohoku-n,1965-06-18,1965-08-06,1900-06-18,1900-08-06,49.0
16,1966,169,tohoku-n,1966-06-16,1966-08-07,1900-06-16,1900-08-07,52.0
17,1967,78,tohoku-n,1967-07-03,1967-07-18,1900-07-03,1900-07-18,15.0
18,1968,64,tohoku-n,1968-06-20,1968-07-23,1900-06-20,1900-07-23,33.0
19,1969,82,tohoku-n,1969-06-22,1969-07-14,1900-06-22,1900-07-14,22.0
20,1970,62,tohoku-n,1970-06-18,1970-07-20,1900-06-18,1900-07-20,32.0
21,1971,104,tohoku-n,1971-06-11,1971-07-30,1900-06-11,1900-07-30,49.0
22,1972,101,tohoku-n,1972-06-20,1972-08-06,1900-06-20,1900-08-06,47.0
23,1973,31,tohoku-n,1973-06-07,1973-07-13,1900-06-07,1900-07-13,36.0
24,1974,130,tohoku-n,1974-06-06,1974-08-03,1900-06-06,1900-08-03,58.0
25,1975,106,tohoku-n,1975-06-12,1975-07-19,1900-06-12,1900-07-19,37.0
26,1976,55,tohoku-n,1976-06-08,1976-07-23,1900-06-08,1900-07-23,45.0
27,1977,75,tohoku-n,1977-06-11,1977-07-22,1900-06-11,1900-07-22,41.0
28,1978,79,tohoku-n,1978-06-11,1978-07-08,1900-06-11,1900-07-08,27.0
29,1979,119,tohoku-n,1979-06-08,1979-08-08,1900-06-08,1900-08-08,61.0
30,1980,106,tohoku-n,1980-06-09,1980-08-03,1900-06-09,1900-08-03,55.0
31,1981,129,tohoku-n,1981-06-11,1981-07-17,1900-06-11,1900-07-17,36.0
32,1982,64,tohoku-n,1982-06-24,1982-08-07,1900-06-24,1900-08-07,44.0
33,1983,126,tohoku-n,1983-06-13,1983-07-29,1900-06-13,1900-07-29,46.0
34,1984,92,tohoku-n,1984-06-10,1984-07-22,1900-06-10,1900-07-22,42.0
35,1985,92,tohoku-n,1985-06-08,1985-07-19,1900-06-08,1900-07-19,41.0
36,1986,97,tohoku-n,1986-06-17,1986-07-28,1900-06-17,1900-07-28,41.0
37,1987,106,tohoku-n,1987-06-27,1987-08-09,1900-06-27,1900-08-09,43.0
38,1988,84,tohoku-n,1988-06-09,1988-07-31,1900-06-09,1900-07-31,52.0
39,1989,48,tohoku-n,1989-06-15,1989-07-21,1900-06-15,1900-07-21,36.0
40,1990,120,tohoku-n,1990-06-15,1990-07-27,1900-06-15,1900-07-27,42.0
41,1991,137,tohoku-n,1991-06-10,1991-08-14,1900-06-10,1900-08-14,65.0
42,1992,73,tohoku-n,1992-06-08,1992-07-29,1900-06-08,1900-07-29,51.0
43,1993,136,tohoku-n,1993-06-03,,1900-06-03,,
44,1994,58,tohoku-n,1994-06-19,1994-07-13,1900-06-19,1900-07-13,24.0
45,1995,70,tohoku-n,1995-06-14,1995-07-23,1900-06-14,1900-07-23,39.0
46,1996,107,tohoku-n,1996-06-11,1996-08-06,1900-06-11,1900-08-06,56.0
47,1997,76,tohoku-n,1997-06-02,1997-07-17,1900-06-02,1900-07-17,45.0
48,1998,114,tohoku-n,1998-06-03,,1900-06-03,,
49,1999,116,tohoku-n,1999-06-16,1999-07-26,1900-06-16,1900-07-26,40.0
50,2000,103,tohoku-n,2000-06-23,2000-07-27,1900-06-23,1900-07-27,34.0
51,2001,111,tohoku-n,2001-06-06,,1900-06-06,,
52,2002,134,tohoku-n,2002-06-11,2002-07-25,1900-06-11,1900-07-25,44.0
53,2003,110,tohoku-n,2003-06-12,,1900-06-12,,
54,2004,87,tohoku-n,2004-06-19,2004-07-22,1900-06-19,1900-07-22,33.0
55,2005,100,tohoku-n,2005-06-25,2005-08-04,1900-06-25,1900-08-04,40.0
56,2006,80,tohoku-n,2006-06-15,2006-08-02,1900-06-15,1900-08-02,48.0
57,2007,73,tohoku-n,2007-06-29,2007-08-11,1900-06-29,1900-08-11,43.0
58,2008,98,tohoku-n,2008-06-23,2008-08-05,1900-06-23,1900-08-05,43.0
59,2009,148,tohoku-n,2009-06-04,,1900-06-04,,
60,2010,113,tohoku-n,2010-06-16,2010-07-18,1900-06-16,1900-07-18,32.0
61,2011,70,tohoku-n,2011-06-21,2011-07-09,1900-06-21,1900-07-09,18.0
62,2012,86,tohoku-n,2012-06-09,2012-07-26,1900-06-09,1900-07-26,47.0
63,2013,110,tohoku-n,2013-06-15,2013-08-10,1900-06-15,1900-08-10,56.0
64,2014,109,tohoku-n,2014-06-06,2014-07-25,1900-06-06,1900-07-25,49.0
65,2015,87,tohoku-n,2015-06-26,2015-07-29,1900-06-26,1900-07-29,33.0
66,2016,91,tohoku-n,2016-06-13,2016-07-29,1900-06-13,1900-07-29,46.0
67,2017,118,tohoku-n,2017-07-01,,1900-07-01,,
68,2018,99,tohoku-n,2018-06-11,2018-07-19,1900-06-11,1900-07-19,38.0
1,1951,74,tohoku-s,1951-06-04,1951-07-18,1900-06-04,1900-07-18,44.0
2,1952,118,tohoku-s,1952-06-23,1952-07-20,1900-06-23,1900-07-20,27.0
3,1953,101,tohoku-s,1953-06-05,1953-07-26,1900-06-05,1900-07-26,51.0
4,1954,137,tohoku-s,1954-06-06,1954-07-23,1900-06-06,1900-07-23,47.0
5,1955,75,tohoku-s,1955-06-15,1955-07-08,1900-06-15,1900-07-08,23.0
6,1956,141,tohoku-s,1956-06-20,1956-07-24,1900-06-20,1900-07-24,34.0
7,1957,114,tohoku-s,1957-06-18,1957-07-29,1900-06-18,1900-07-29,41.0
8,1958,137,tohoku-s,1958-06-08,1958-07-14,1900-06-08,1900-07-14,36.0
9,1959,123,tohoku-s,1959-06-01,1959-07-25,1900-06-01,1900-07-25,54.0
10,1960,64,tohoku-s,1960-06-21,1960-07-17,1900-06-21,1900-07-17,26.0
11,1961,117,tohoku-s,1961-06-21,1961-07-20,1900-06-21,1900-07-20,29.0
12,1962,97,tohoku-s,1962-06-03,1962-07-22,1900-06-03,1900-07-22,49.0
13,1963,111,tohoku-s,1963-06-03,1963-07-26,1900-06-03,1900-07-26,53.0
14,1964,101,tohoku-s,1964-06-08,1964-07-22,1900-06-08,1900-07-22,44.0
15,1965,123,tohoku-s,1965-06-14,1965-07-24,1900-06-14,1900-07-24,40.0
