,line,2017_passenger,variable,value,bus_line
138,西５,1485,2011,184.0,西5号系統
139,西６,1206,2011,162.0,西6号系統
140,西８,1686,2011,187.0,西8号系統
141,南１,1020,2011,257.0,南1号系統
142,南２,1741,2011,147.0,南2号系統
143,南３,666,2011,166.0,南3号系統
144,南５,2078,2011,118.0,南5号系統
145,南８,548,2011,217.0,南8号系統
146,Ｍ１,1233,2011,111.0,M1号系統
147,循環１,785,2011,101.0,100円循環
148,１,4061,2012,115.0,1号系統
149,３,13110,2012,78.0,3号系統
150,４,7257,2012,84.0,4号系統
151,５,13000,2012,75.0,5号系統
152,６,2723,2012,110.0,6号系統
153,８,1225,2012,173.0,8号系統
154,９,11602,2012,78.0,9号系統
155,１０,3683,2012,112.0,10号系統
156,１１,4784,2012,108.0,11号系統
157,１２,7242,2012,81.0,12号系統
158,１３,4415,2012,133.0,13号系統
159,１５,2687,2012,106.0,15号系統
160,１６,1142,2012,199.0,16号系統
161,１７,6612,2012,68.0,17号系統
162,１８,3009,2012,192.0,18号系統
163,１９,803,2012,195.0,19号系統
164,２０,1314,2012,196.0,20号系統
165,２２,1358,2012,200.0,22号系統
166,２６,5177,2012,103.0,26号系統
167,２７,2667,2012,136.0,27号系統
168,２８,5422,2012,103.0,28号系統
169,２９,2707,2012,113.0,29号系統
170,３１,1323,2012,120.0,31号系統
171,３２,4210,2012,109.0,32号系統
172,３３,2439,2012,121.0,33号系統
173,３７,5690,2012,102.0,37号系統
174,４２,716,2012,216.0,42号系統
175,４３,859,2012,158.0,43号系統
176,４６,10257,2012,86.0,46号系統
177,５０,6031,2012,88.0,50号系統
178,５１,1246,2012,114.0,51号系統
179,５５,1857,2012,114.0,55号系統
180,５９,6879,2012,88.0,59号系統
181,６５,997,2012,157.0,65号系統
182,６７,311,2012,142.0,67号系統
183,６９,2095,2012,168.0,69号系統
184,７０,1934,2012,107.0,70号系統
185,７１,2881,2012,128.0,71号系統
186,７３,3728,2012,95.0,73号系統
187,７５,1449,2012,133.0,75号系統
188,７８,918,2012,201.0,78号系統
189,８０,2723,2012,127.0,80号系統
190,８１,3803,2012,123.0,81号系統
191,８４,940,2012,230.0,84号系統
192,９１,3933,2012,110.0,91号系統
193,９３,5645,2012,105.0,93号系統
194,１００,8099,2012,54.0,100号系統
195,１０１,4799,2012,63.0,101号系統
196,１０２,1945,2012,81.0,102号系統
197,２０１,13054,2012,76.0,201号系統
198,２０２,13773,2012,82.0,202号系統
199,２０３,18034,2012,72.0,203号系統
200,２０４,11539,2012,81.0,204号系統
201,２０５,34727,2012,77.0,205号系統
202,２０６,28496,2012,59.0,206号系統
203,２０７,14276,2012,64.0,207号系統
204,２０８,3779,2012,99.0,208号系統
205,北１,1979,2012,82.0,北1号系統
206,北３,2235,2012,135.0,北3号系統
207,北８,2771,2012,118.0,北8号系統
208,西１,726,2012,167.0,西1号系統
209,西２,3864,2012,126.0,西2号系統
210,西３,1197,2012,166.0,西3号系統
211,西４,1295,2012,147.0,西4号系統
212,西５,1485,2012,184.0,西5号系統
213,西６,1206,2012,149.0,西6号系統
214,西８,1686,2012,158.0,西8号系統
215,南１,1020,2012,240.0,南1号系統
216,南２,1741,2012,140.0,南2号系統
217,南３,666,2012,163.0,南3号系統
218,南５,2078,2012,106.0,南5号系統
219,南８,548,2012,210.0,南8号系統
220,Ｍ１,1233,2012,100.0,M1号系統
221,循環１,785,2012,99.0,100円循環
222,１,4061,2013,111.0,1号系統
223,３,13110,2013,78.0,3号系統
224,４,7257,2013,81.0,4号系統
225,５,13000,2013,74.0,5号系統
226,６,2723,2013,110.0,6号系統
227,８,1225,2013,169.0,8号系統
228,９,11602,2013,76.0,9号系統
229,１０,3683,2013,109.0,10号系統
230,１１,4784,2013,106.0,11号系統
231,１２,7242,2013,78.0,12号系統
232,１３,4415,2013,135.0,13号系統
233,１５,2687,2013,103.0,15号系統
234,１６,1142,2013,188.0,16号系統
235,１７,6612,2013,67.0,17号系統
236,１８,3009,2013,199.0,18号系統
237,１９,803,2013,191.0,19号系統
238,２０,1314,2013,189.0,20号系統
239,２２,1358,2013,204.0,22号系統
240,２６,5177,2013,101.0,26号系統
241,２７,2667,2013,131.0,27号系統
242,２８,5422,2013,102.0,28号系統
243,２９,2707,2013,110.0,29号系統
244,３１,1323,2013,116.0,31号系統
245,３２,4210,2013,107.0,32号系統
246,３３,2439,2013,125.0,33号系統
247,３７,5690,2013,98.0,37号系統
248,４２,716,2013,208.0,42号系統
249,４３,859,2013,156.0,43号系統
250,４６,10257,2013,84.0,46号系統
251,５０,6031,2013,87.0,50号系統
252,５１,1246,2013,111.0,51号系統
253,５５,1857,2013,115.0,55号系統
254,５９,6879,2013,86.0,59号系統
255,６５,997,2013,152.0,65号系統
256,６７,311,2013,139.0,67号系統
257,６９,2095,2013,173.0,69号系統
258,７０,1934,2013,106.0,70号系統
259,７１,2881,2013,128.0,71号系統
260,７３,3728,2013,92.0,73号系統
261,７５,1449,2013,130.0,75号系統
262,７８,918,2013,193.0,78号系統
263,８０,2723,2013,121.0,80号系統
264,８１,3803,2013,121.0,81号系統
265,８４,940,2013,220.0,84号系統
266,９１,3933,2013,111.0,91号系統
267,９３,5645,2013,103.0,93号系統
268,１００,8099,2013,54.0,100号系統
269,１０１,4799,2013,62.0,101号系統
270,１０２,1945,2013,79.0,102号系統
271,２０１,13054,2013,74.0,201号系統
272,２０２,13773,2013,82.0,202号系統
273,２０３,18034,2013,72.0,203号系統
274,２０４,11539,2013,80.0,204号系統
275,２０５,34727,2013,77.0,205号系統
276,２０６,28496,2013,59.0,206号系統
277,２０７,14276,2013,62.0,207号系統
278,２０８,3779,2013,100.0,208号系統
279,北１,1979,2013,80.0,北1号系統
280,北３,2235,2013,125.0,北3号系統
281,北８,2771,2013,117.0,北8号系統
282,西１,726,2013,175.0,西1号系統
283,西２,3864,2013,128.0,西2号系統
