,year,p-amount,area,enter,exit,variable,date
73,1956,115,hokuriku,1956-05-22,1956-07-26,g-enter,1900-05-22
74,1957,116,hokuriku,1957-06-05,1957-07-31,g-enter,1900-06-05
75,1958,121,hokuriku,1958-06-28,1958-07-09,g-enter,1900-06-28
76,1959,111,hokuriku,1959-06-10,1959-07-27,g-enter,1900-06-10
77,1960,81,hokuriku,1960-06-11,1960-07-18,g-enter,1900-06-11
78,1961,152,hokuriku,1961-06-09,1961-07-16,g-enter,1900-06-09
79,1962,92,hokuriku,1962-06-03,1962-07-22,g-enter,1900-06-03
80,1963,109,hokuriku,1963-05-29,1963-07-25,g-enter,1900-05-29
81,1964,175,hokuriku,1964-06-20,1964-07-22,g-enter,1900-06-20
82,1965,156,hokuriku,1965-06-19,1965-07-25,g-enter,1900-06-19
83,1966,125,hokuriku,1966-06-09,1966-07-20,g-enter,1900-06-09
84,1967,86,hokuriku,1967-06-25,1967-07-17,g-enter,1900-06-25
85,1968,56,hokuriku,1968-06-16,1968-07-20,g-enter,1900-06-16
86,1969,90,hokuriku,1969-06-12,1969-07-16,g-enter,1900-06-12
87,1970,87,hokuriku,1970-06-11,1970-07-20,g-enter,1900-06-11
88,1971,155,hokuriku,1971-06-04,1971-07-28,g-enter,1900-06-04
89,1972,109,hokuriku,1972-06-07,1972-07-19,g-enter,1900-06-07
90,1973,49,hokuriku,1973-06-06,1973-07-13,g-enter,1900-06-06
91,1974,106,hokuriku,1974-06-11,1974-07-21,g-enter,1900-06-11
92,1975,85,hokuriku,1975-06-05,1975-07-16,g-enter,1900-06-05
93,1976,91,hokuriku,1976-06-05,1976-07-21,g-enter,1900-06-05
94,1977,56,hokuriku,1977-06-10,1977-07-21,g-enter,1900-06-10
95,1978,87,hokuriku,1978-06-11,1978-07-08,g-enter,1900-06-11
96,1979,93,hokuriku,1979-06-07,1979-07-30,g-enter,1900-06-07
97,1980,122,hokuriku,1980-06-09,1980-07-21,g-enter,1900-06-09
98,1981,117,hokuriku,1981-06-11,1981-07-16,g-enter,1900-06-11
99,1982,62,hokuriku,1982-06-23,1982-07-31,g-enter,1900-06-23
100,1983,139,hokuriku,1983-06-12,1983-07-28,g-enter,1900-06-12
101,1984,99,hokuriku,1984-06-17,1984-07-22,g-enter,1900-06-17
102,1985,164,hokuriku,1985-06-08,1985-07-15,g-enter,1900-06-08
103,1986,102,hokuriku,1986-06-16,1986-07-27,g-enter,1900-06-16
104,1987,74,hokuriku,1987-06-28,1987-08-08,g-enter,1900-06-28
105,1988,118,hokuriku,1988-06-23,1988-07-31,g-enter,1900-06-23
106,1989,73,hokuriku,1989-06-15,1989-07-19,g-enter,1900-06-15
107,1990,81,hokuriku,1990-06-15,1990-07-20,g-enter,1900-06-15
108,1991,133,hokuriku,1991-06-10,1991-08-14,g-enter,1900-06-10
109,1992,63,hokuriku,1992-06-07,1992-07-19,g-enter,1900-06-07
110,1993,119,hokuriku,1993-06-02,,g-enter,1900-06-02
111,1994,36,hokuriku,1994-06-08,1994-07-13,g-enter,1900-06-08
112,1995,144,hokuriku,1995-06-02,1995-07-23,g-enter,1900-06-02
113,1996,83,hokuriku,1996-06-07,1996-07-16,g-enter,1900-06-07
114,1997,124,hokuriku,1997-06-02,1997-07-18,g-enter,1900-06-02
115,1998,71,hokuriku,1998-06-02,,g-enter,1900-06-02
116,1999,99,hokuriku,1999-06-15,1999-07-24,g-enter,1900-06-15
117,2000,66,hokuriku,2000-06-08,2000-07-19,g-enter,1900-06-08
118,2001,89,hokuriku,2001-06-05,2001-07-02,g-enter,1900-06-05
119,2002,125,hokuriku,2002-06-11,2002-07-23,g-enter,1900-06-11
120,2003,101,hokuriku,2003-06-12,2003-08-01,g-enter,1900-06-12
121,2004,86,hokuriku,2004-06-06,2004-07-22,g-enter,1900-06-06
122,2005,106,hokuriku,2005-06-27,2005-07-18,g-enter,1900-06-27
123,2006,150,hokuriku,2006-06-15,2006-07-30,g-enter,1900-06-15
124,2007,101,hokuriku,2007-06-21,2007-08-01,g-enter,1900-06-21
125,2008,67,hokuriku,2008-06-19,2008-08-06,g-enter,1900-06-19
126,2009,117,hokuriku,2009-06-03,,g-enter,1900-06-03
127,2010,92,hokuriku,2010-06-13,2010-07-17,g-enter,1900-06-13
128,2011,96,hokuriku,2011-06-18,2011-07-09,g-enter,1900-06-18
129,2012,84,hokuriku,2012-06-09,2012-07-26,g-enter,1900-06-09
130,2013,133,hokuriku,2013-06-18,2013-08-07,g-enter,1900-06-18
131,2014,88,hokuriku,2014-06-05,2014-07-21,g-enter,1900-06-05
132,2015,68,hokuriku,2015-06-19,2015-07-25,g-enter,1900-06-19
