,国名,date,value,data_name
105,豪州,2003-02-01,6.413739569183008,YoY
106,アジア計,2003-02-01,-0.6366029003938962,YoY
107,スイス,2003-02-01,3.778558875219673,YoY
108,オランダ,2003-02-01,7.479224376731295,YoY
109,スウェーデン,2003-02-01,-8.289374529012818,YoY
110,台湾,2003-02-01,-13.951569229182255,YoY
111,香港,2003-02-01,-36.4545543680753,YoY
112,タイ,2003-02-01,9.587628865979397,YoY
113,シンガポール,2003-02-01,-16.79852805887765,YoY
114,マレーシア,2003-02-01,3.145657624800549,YoY
115,インドネシア,2003-02-01,13.887843432442608,YoY
116,フィリピン,2003-02-01,8.909408535063633,YoY
117,ベトナム,2003-02-01,26.966292134831463,YoY
118,韓国,2003-02-01,13.548931722710194,YoY
119,インド,2003-02-01,10.033076074972442,YoY
120,トルコ,2003-02-01,130.89430894308944,YoY
121,ヨーロッパ計,2003-02-01,1.3709184020303127,YoY
122,英国,2003-02-01,-11.531564953935572,YoY
123,フランス,2003-02-01,6.654022443496132,YoY
124,ドイツ,2003-02-01,15.0190114068441,YoY
125,イタリア,2003-02-01,2.109124254928929,YoY
126,ロシア,2003-02-01,23.77560106856633,YoY
127,スペイン,2003-02-01,15.503875968992247,YoY
128,イスラエル,2003-02-01,2.4671052631579045,YoY
129,総数,2003-02-01,-1.3027361959203319,YoY
130,カナダ,2003-02-01,9300.0,tourist_num
131,無国籍・その他,2003-02-01,96.0,tourist_num
132,ドイツ,2003-02-01,6655.0,tourist_num
133,イタリア,2003-02-01,2227.0,tourist_num
134,ロシア,2003-02-01,2780.0,tourist_num
135,スペイン,2003-02-01,894.0,tourist_num
136,スウェーデン,2003-02-01,1217.0,tourist_num
137,オランダ,2003-02-01,1552.0,tourist_num
138,スイス,2003-02-01,1181.0,tourist_num
139,ベルギー,2003-02-01,740.0,tourist_num
140,フランス,2003-02-01,6748.0,tourist_num
141,フィンランド,2003-02-01,745.0,tourist_num
142,デンマーク,2003-02-01,667.0,tourist_num
143,ノルウェー,2003-02-01,511.0,tourist_num
144,オーストリア,2003-02-01,591.0,tourist_num
145,ポルトガル,2003-02-01,617.0,tourist_num
146,アイルランド,2003-02-01,746.0,tourist_num
147,アフリカ計,2003-02-01,1240.0,tourist_num
148,北アメリカ計,2003-02-01,52822.0,tourist_num
149,米国,2003-02-01,42567.0,tourist_num
150,ポーランド,2003-02-01,282.0,tourist_num
151,英国,2003-02-01,14308.0,tourist_num
152,ヨーロッパ計,2003-02-01,44736.0,tourist_num
153,トルコ,2003-02-01,568.0,tourist_num
154,メキシコ,2003-02-01,562.0,tourist_num
155,ニュージーランド,2003-02-01,-3.0590717299578074,YoY
156,オセアニア計,2003-02-01,13006.0,tourist_num
157,ブラジル,2003-02-01,731.0,tourist_num
158,南アメリカ計,2003-02-01,1706.0,tourist_num
159,総数,2003-02-01,394869.0,tourist_num
160,アジア計,2003-02-01,281263.0,tourist_num
161,韓国,2003-02-01,112988.0,tourist_num
162,中国,2003-02-01,41864.0,tourist_num
163,台湾,2003-02-01,66734.0,tourist_num
164,香港,2003-02-01,25924.0,tourist_num
165,タイ,2003-02-01,4252.0,tourist_num
166,シンガポール,2003-02-01,4522.0,tourist_num
167,マレーシア,2003-02-01,4525.0,tourist_num
168,インドネシア,2003-02-01,3026.0,tourist_num
169,フィリピン,2003-02-01,8728.0,tourist_num
170,ベトナム,2003-02-01,1130.0,tourist_num
171,インド,2003-02-01,2994.0,tourist_num
172,イスラエル,2003-02-01,623.0,tourist_num
173,豪州,2003-02-01,10967.0,tourist_num
174,無国籍・その他,2003-02-01,-35.570469798657726,YoY
175,ニュージーランド,2003-02-01,1838.0,tourist_num
176,スペイン,2003-03-01,14.668901927912813,YoY
177,イタリア,2003-03-01,31.085587254538723,YoY
178,ドイツ,2003-03-01,13.644562334217511,YoY
179,フランス,2003-03-01,19.936925819278756,YoY
180,英国,2003-03-01,-0.5525923790303295,YoY
181,ヨーロッパ計,2003-03-01,10.921524930677236,YoY
182,トルコ,2003-03-01,102.47933884297521,YoY
183,イスラエル,2003-03-01,-12.9763130792997,YoY
184,インド,2003-03-01,15.972972972972983,YoY
185,ベトナム,2003-03-01,23.288690476190467,YoY
186,フィリピン,2003-03-01,18.755529342376875,YoY
187,インドネシア,2003-03-01,-3.8825286212045853,YoY
188,マレーシア,2003-03-01,-2.403041825095059,YoY
189,シンガポール,2003-03-01,-1.489016659295288,YoY
190,タイ,2003-03-01,24.37603993344426,YoY
191,香港,2003-03-01,-32.6797385620915,YoY
192,台湾,2003-03-01,5.41649569142389,YoY
193,中国,2003-03-01,21.025191248842773,YoY
194,韓国,2003-03-01,13.297534679945471,YoY
195,総数,2003-03-01,5.202357419004031,YoY
196,ロシア,2003-03-01,26.157934700075927,YoY
197,ニュージーランド,2003-03-01,2745.0,tourist_num
198,スウェーデン,2003-03-01,5.894962486602353,YoY
199,スイス,2003-03-01,3.787450537026558,YoY
200,無国籍・その他,2003-03-01,-36.440677966101696,YoY
201,ニュージーランド,2003-03-01,-4.455273233553783,YoY
202,豪州,2003-03-01,1.3856812933025395,YoY
203,オセアニア計,2003-03-01,0.7276571926114741,YoY
204,ブラジル,2003-03-01,0.6113537117904002,YoY
205,南アメリカ計,2003-03-01,10.521813515825485,YoY
206,メキシコ,2003-03-01,-35.524079320113316,YoY
207,カナダ,2003-03-01,-3.6263903702575107,YoY
208,米国,2003-03-01,-7.952366535472805,YoY
209,北アメリカ計,2003-03-01,-7.327789851648873,YoY
210,アフリカ計,2003-03-01,68.46038863976082,YoY
211,アイルランド,2003-03-01,-14.360313315926902,YoY
212,ポルトガル,2003-03-01,26.392251815980643,YoY
213,オーストリア,2003-03-01,25.526932084309138,YoY
214,ノルウェー,2003-03-01,15.952732644017729,YoY
215,デンマーク,2003-03-01,17.65327695560252,YoY
216,ポーランド,2003-03-01,-7.7747989276139435,YoY
217,フィンランド,2003-03-01,16.8944099378882,YoY
218,ベルギー,2003-03-01,7.593582887700535,YoY
219,オランダ,2003-03-01,21.883920076117988,YoY
220,無国籍・その他,2003-03-01,150.0,tourist_num
221,アジア計,2003-03-01,7.8238407071796985,YoY
222,イタリア,2003-03-01,3538.0,tourist_num
